127.0.0.1 - - [05/Jul/2017:21:28:13 +0530] "GET /WEB/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1123
127.0.0.1 - - [05/Jul/2017:21:28:13 +0530] "GET /WEB/resources/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 404 1129
127.0.0.1 - - [05/Jul/2017:21:28:13 +0530] "GET /WEB/resources/js/jquery-1.12.1.min.js HTTP/1.1" 404 1115
127.0.0.1 - - [05/Jul/2017:21:28:13 +0530] "GET /WEB/resources/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1121
127.0.0.1 - - [05/Jul/2017:21:28:13 +0530] "GET /WEB/resources/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [05/Jul/2017:21:28:38 +0530] "GET /StudentRegistration/ HTTP/1.1" 200 1699
0:0:0:0:0:0:0:1 - - [05/Jul/2017:21:28:39 +0530] "GET /favicon.ico HTTP/1.1" 404 1089
127.0.0.1 - - [05/Jul/2017:21:30:28 +0530] "GET /StudentRegistration/ HTTP/1.1" 200 1760
127.0.0.1 - - [05/Jul/2017:21:30:28 +0530] "GET /StudentRegistration/resources/js/jquery-1.12.1.min.js HTTP/1.1" 200 97403
127.0.0.1 - - [05/Jul/2017:21:30:28 +0530] "GET /StudentRegistration/resources/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [05/Jul/2017:21:30:28 +0530] "GET /StudentRegistration/resources/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 200 23409
127.0.0.1 - - [05/Jul/2017:21:30:28 +0530] "GET /StudentRegistration/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [05/Jul/2017:21:30:32 +0530] "GET /StudentRegistration/ HTTP/1.1" 200 1760
127.0.0.1 - - [05/Jul/2017:21:30:32 +0530] "GET /StudentRegistration/resources/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Jul/2017:21:30:32 +0530] "GET /StudentRegistration/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Jul/2017:21:30:32 +0530] "GET /StudentRegistration/resources/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Jul/2017:21:30:32 +0530] "GET /StudentRegistration/resources/js/jquery-1.12.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Jul/2017:21:30:34 +0530] "GET /StudentRegistration/ HTTP/1.1" 200 1760
127.0.0.1 - - [05/Jul/2017:21:30:34 +0530] "GET /StudentRegistration/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Jul/2017:21:30:34 +0530] "GET /StudentRegistration/resources/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Jul/2017:21:30:34 +0530] "GET /StudentRegistration/resources/js/jquery-1.12.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Jul/2017:21:30:34 +0530] "GET /StudentRegistration/resources/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Jul/2017:21:30:39 +0530] "GET /StudentRegistration/studentReg HTTP/1.1" 200 32570
127.0.0.1 - - [05/Jul/2017:21:30:39 +0530] "GET /StudentRegistration/resources/js/customjs/studentReg.js HTTP/1.1" 200 1282
127.0.0.1 - - [05/Jul/2017:21:30:39 +0530] "GET /StudentRegistration/resources/js/customjs/studentValidation.js HTTP/1.1" 200 4374
127.0.0.1 - - [05/Jul/2017:21:30:39 +0530] "GET /StudentRegistration/resources/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [05/Jul/2017:21:30:50 +0530] "POST /StudentRegistration/studentSubmittionForm HTTP/1.1" 500 7199
0:0:0:0:0:0:0:1 - - [05/Jul/2017:21:31:06 +0530] "GET /StudentRegistration/studentReg HTTP/1.1" 200 32570
0:0:0:0:0:0:0:1 - - [05/Jul/2017:21:31:06 +0530] "GET /StudentRegistration/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [05/Jul/2017:21:31:06 +0530] "GET /StudentRegistration/resources/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [05/Jul/2017:21:31:06 +0530] "GET /StudentRegistration/resources/js/jquery-1.12.1.min.js HTTP/1.1" 200 97403
0:0:0:0:0:0:0:1 - - [05/Jul/2017:21:31:06 +0530] "GET /StudentRegistration/resources/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [05/Jul/2017:21:31:06 +0530] "GET /StudentRegistration/resources/js/customjs/studentValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:21:31:06 +0530] "GET /StudentRegistration/resources/js/customjs/studentReg.js HTTP/1.1" 200 1282
0:0:0:0:0:0:0:1 - - [05/Jul/2017:21:31:06 +0530] "GET /StudentRegistration/resources/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [05/Jul/2017:21:31:10 +0530] "POST /StudentRegistration/studentSubmittionForm HTTP/1.1" 500 7199
0:0:0:0:0:0:0:1 - - [05/Jul/2017:21:31:16 +0530] "GET /StudentRegistration/studentReg HTTP/1.1" 200 32570
0:0:0:0:0:0:0:1 - - [05/Jul/2017:22:52:50 +0530] "GET /StudentRegistration/studentReg HTTP/1.1" 200 32570
0:0:0:0:0:0:0:1 - - [05/Jul/2017:22:52:51 +0530] "GET /StudentRegistration/studentReg HTTP/1.1" 200 32570
